top_category,series_name,drill_name,status
Aiming & Shot Making,Straight Shots,Straight Scratch Shots,confirmed
Aiming & Shot Making,Straight Shots,Short Straight Shots,confirmed
Aiming & Shot Making,Straight Shots,100 Long Straight Shots,confirmed
Aiming & Shot Making,Straight Shots,100 Very Long Straight Shots,confirmed
Aiming & Shot Making,Center Ball Training,Dead Center Bounce - Short,confirmed
Aiming & Shot Making,Center Ball Training,Dead Center Bounce - Long,confirmed
Aiming & Shot Making,Center Ball Training,Dead Center Bounce - Contact,confirmed
Aiming & Shot Making,Aim Training,Aim Training - Level I,confirmed
Aiming & Shot Making,Aim Training,Aim Training - Level II,confirmed
Aiming & Shot Making,Aim Training,Aim Training - Level III,confirmed
Aiming & Shot Making,Around the Money Ball,Around The Town,confirmed
Aiming & Shot Making,Around the Money Ball,Around The Continent,confirmed
Aiming & Shot Making,Around the Money Ball,Around The World,confirmed
Aiming & Shot Making,Straight Pool High Run,Straight Pool High Run,confirmed
Cue Ball Control,Draw and Follow,The Pendulum,confirmed
Cue Ball Control,Draw and Follow,The Ladder,confirmed
Cue Ball Control,Draw and Follow,The Gates of Heaven and Hell,confirmed
Cue Ball Control,Stop Shots,Basic Stop Shots,confirmed
Cue Ball Control,Stop Shots,Distance Varied Stop Shots,confirmed
Cue Ball Control,Stop Shots,Micro Nudge Stop Shots,confirmed
Cue Ball Control,Angle Control,The Trident,confirmed
Cue Ball Control,Angle Control,The Wagon Wheel,confirmed
Cue Ball Control,Side Spin,Triad Compass,confirmed
Cue Ball Control,Side Spin,The Compass,confirmed
Position Play & Runouts,Progressive Rotation Runs,Progressive Rotation Runouts,confirmed
Position Play & Runouts,The Line,The Buffet Line,confirmed
Position Play & Runouts,The Line,The Queue,confirmed
Position Play & Runouts,The Line,Divergence,confirmed
Position Play & Runouts,The Line,Double Dash,confirmed
Position Play & Runouts,The L-Drill Series,5-Ball L-Drill,confirmed
Position Play & Runouts,The L-Drill Series,7-Ball L-Drill,confirmed
Position Play & Runouts,The L-Drill Series,9-Ball L-Drill,confirmed
Position Play & Runouts,The L-Drill Series,15-Ball L-Drill,confirmed
Defense,Containing Safes,Consecutive Containing Safes,confirmed
Defense,Build-A-Wall,Build-A-Wall,confirmed
Jump Shots,Jump Shot Accuracy Training,Elevation Accuracy Training,confirmed
Jump Shots,Jump Shot Accuracy Training,Jump Scratch Shots,confirmed
Jump Shots,Jump Shot Accuracy Training,Consecutive Short Jump Shots,confirmed
Jump Shots,Jump Shot Accuracy Training,Consecutive Long Jump Shots,confirmed
